created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,,,,,,,,,,,,,,,
Sat Aug 05 22:48:07 +0000 2023,1.68796E+18,@AnakLolina2 Asal ngebacot tapi gak dipikirin. Kelihatan banget bodohnya Gak memahami dan menguasai materi. Apalagi soal proyek nasional dan proyek investasi baik swasta dan bumn/bumd.  BODOHNYA CAPRES SEBELAH.  #Aniscapresbodoh #Anisbaswedanbodoh #Anisga,0,0,0,0,in,1.24396E+18,1.68705E+18,TalibAlen,https://twitter.com/TalibAlen/status/1687958690383773696,,,,,,,,,,,,,,,
Sat Aug 05 22:47:10 +0000 2023,1.68796E+18,Saat toko sebelah sedang meributkan penghinaan pujaannya yg hampir expired koalisi perubahan tetep fokus konsolidasi &amp  sosialisasi untuk kemenangan Capres 2024😁,0,0,0,0,in,2537297154,1.68796E+18,suharjo99,https://twitter.com/suharjo99/status/1687958453959180288,,,,,,,,,,,,,,,
Sat Aug 05 22:45:45 +0000 2023,1.68796E+18,Setidaknya pilpres 2024 akan diikuti oleh dua capres alumnus UGM lagi namun ijazahnya tidak perlu diragukan,0,0,0,8,in,230040721,1.68796E+18,Hakim_Emkah,https://twitter.com/Hakim_Emkah/status/1687958097963421696,,,,,,,,,,,,,,,
Sat Aug 05 22:42:22 +0000 2023,1.68796E+18,Kabar Koalisi PKB dan Gerindra Retak,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:40:50 +0000 2023,1.68796E+18,@Yom_N_Friends Tdk pernah berani menampilkan capres,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:37:15 +0000 2023,1.68796E+18,@Dennysiregar7 Cap politik dinasti ke Jokowi dan keluarga ..sdh terjadi sejak Gibran dan Bobby masuk politik. Jangan dilebayin deh .. dikaitka dg copras capres...🥱😸,0,0,0,0,in,60247886,1.68784E+18,yanLebert,https://twitter.com/yanLebert/status/1687955955693375488,,,,,,,,,,,,,,,
Sat Aug 05 22:36:19 +0000 2023,1.68796E+18,@Uki23 Kan gak lucu ya bang cuma gegara kunjungan capres aja pecah 😐,0,0,0,0,in,1.02128E+18,1.68777E+18,Jullianrizky,https://twitter.com/Jullianrizky/status/1687955722393583616,,,,,,,,,,,,,,,
Sat Aug 05 22:35:20 +0000 2023,1.68796E+18,Pemilu2024:capres kini hanya mengandalkan pencitraan saja dan dukungan parpol yang tak jelas arahnya,0,0,0,0,in,1.56087E+18,1.68796E+18,Donisetiyawana1,https://twitter.com/Donisetiyawana1/status/1687955474367578112,,,,,,,,,,,,,,,
Sat Aug 05 22:34:09 +0000 2023,1.68796E+18,Pemilu 2024:capres kini belum bisa diandalkan karena belum ada bukti mampu dan kinerja skala nasional masih lingkup regional,0,0,0,0,in,1.56087E+18,1.68796E+18,Donisetiyawana1,https://twitter.com/Donisetiyawana1/status/1687955177100521472,,,,,,,,,,,,,,,
Sat Aug 05 22:30:57 +0000 2023,1.68795E+18,Ayo Geruduk Kedutaan India! #india #capres https://t.co/jUKU37ZT01 via @YouTube,0,0,0,0,in,1.42506E+18,1.68795E+18,bahry_ar,https://twitter.com/bahry_ar/status/1687954371055611904,,,,,,,,,,,,,,,
Sat Aug 05 22:22:19 +0000 2023,1.68795E+18,Habib Aboe Soal Dukungan Capres: Setiap Partai Punya Hak Masing-masing https://t.co/SP9fhw2uuX,0,0,0,0,in,8.53578E+17,1.68795E+18,PKSCikedokan,https://twitter.com/PKSCikedokan/status/1687952198221844480,,,,,,,,,,,,,,,
Sat Aug 05 22:22:13 +0000 2023,1.68795E+18,Kritisi Uji Materi Usia Capres/Cawapres,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 22:18:42 +0000 2023,1.68795E+18,@VIVAcoid Jd inget salah satu kandidat capres di negri wkwkland,0,0,0,1,in,8.23599E+17,1.68776E+18,yuwana_i,https://twitter.com/yuwana_i/status/1687951289630486528,,,,,,,,,,,,,,,
Sat Aug 05 22:17:50 +0000 2023,1.68795E+18,@Genzowa44114709 @SusilawatiSisi2 Betul bahkan setiap musim Pilpres banyak org terhormat jadi pemuja berhala,,,,,,,,,,,,,,,,,,,,,,,,
